"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
14,79,37,100,56,79,30,52,7.18,27,5.06,2,50,2.26,100,4,"2"
16.04,90,3,41,31,5.14,76,16,100,61,70,100,25,87,14,38,"0"
18.89,90,3,56,51,31,43,11.93,15,22,9,63,38,93,100,100,"5"
15.09,79,38,100,100,94,93,66,55,41,9,19,18,2.33,89,2,"2"
19.48,68,34,100,74,88,56,40,17,10,10,23,55,12,100,12.26,"2"
17,65,71,80,100,100,81,74,74,47,69,20,31,2.94,46.21,2,"1"
55,77,3,100,39,57,100,16,36.2,16.94,26,38,97,77,23,78,"8"
46,90,14,79,9,19,61,10.81,100,47,76,100,18,85,20.88,28,"0"
22.47,48,36,61,69,78,100,100,95,94,70,64,48,34,33,23.55,"1"
90,100,55,76,28,46,12,14,51,6.95,100,19,49,20,20.4,2,"6"
100,100,64,79,27,59,21.11,38,71,45,98,41,60,21,44,31.37,"4"
86,71,70,100,12.76,87,13,60,86,71,100,60,87,27,88,19.63,"9"
53.16,95,46,100,14,63,30,49,100,63,94,67,80,29,72,31.23,"4"
100,100,62,89,23,61,5.48,29,20,3.07,91,7,84,33,11,31,"6"
6,96,23,52,100,63,53,100,19,77,94,48,87,2,28.82,15.2,"9"
14,78,45,100,62,71,34,39,9.05,14,15,8,58,8,100,8.62,"2"
12.86,85,43,100,92,96,100,59,84,21,58,21.12,38,29,87,34,"7"
67,66,56,100,10,74,59,38,70,9.49,12.11,15,29,54,100,82,"8"
75,75,36,100,6,68,62,35,100,7.13,24.04,6,31,41,93,74,"8"
100,83,97,100,46,94,46,67,83,42,99,11,51,4.45,23.29,3,"5"
15,79,43,100,51,68,29,31,9.62,2,30,7,65,2.93,100,1,"2"
42,81,6,56,95,70,71,100,19,62,100,75,75,29,50.17,27.25,"9"
84,100,42,72,2,45,7.34,39,59,35,100,49,84,36,75,31.44,"4"
49,100,54,67,95,32,47,10.36,4,11,10.4,58,31,94,100,94,"5"
22.51,66,20,100,51,93,50,51,33,13,25,9.47,62,8,100,7,"2"
17,100,5,71,7.46,40,60,39,100,58,85,61,77,29,69,30.47,"4"
15.32,91,61,100,78,69,58,34,56,15.25,38,28,34,48,100,45,"7"
5,55,79,87,5,100,38,53,67,6,22.43,13.11,27,47,100,84,"8"
27,100,6,95,8.18,42,30,4.28,79,4,100,51,74,96,24,98,"0"
65,64,9,63,20,92,73,100,100,75,80,46,42,22,22.51,21.13,"9"
88,59,100,100,16,85,42,45,82,8,22.91,8.91,32,40,89,77,"8"
33,78,67,100,68,67,36,40,18.17,17,27,1,72,3.11,100,2,"2"
59,82,11,67,100,65,54,100,40,48,49.98,22,60,20.27,43,52,"8"
100,100,66,80,41,56,23,29,18,4.78,54,7.22,38,18,22.05,12,"6"
12.3,90,57,100,63,71,46,36,40,8.18,10,12,39,32,100,39,"7"
12.085,85,30,100,48,73,33,40,9,13,24,10.05,65,4,100,10,"2"
24,81,57,100,85,76,59,47,82,41,100,15,53,3.78,13.61,5,"3"
76,91,85,67,100,100,32,83,94,70,94,53,73,4,24.53,7.59,"9"
93,87,50,73,27,81,75,100,100,80,67,52,27,27,27.12,23.17,"9"
44,94,6,74,9.09,28,35,5.82,78,13,100,53,76,91,32,100,"0"
19.81,96,46,100,64,67,45,31,12,12.73,10,30,50,55,100,68,"7"
12.93,74,27,100,54,77,37,42,5,14,2,17,51,9,100,9.75,"2"
11.45,89,36,100,56,72,38,40,8,13,1,3.97,51,1,100,3.06,"2"
44,81,72,100,100,82,64,58,99,42,93,13,47,1,18.47,8.48,"3"
20.75,34,43,67,74,100,68,54,59,9,5,1,32,4.17,100,3,"1"
25,79,59,100,100,88,63,63,35,41,80,21,54,3.92,20.93,6,"3"
16,68,4.04,40,26,2.51,73,10,100,50,82,93,32,100,1,73,"0"
7,85,29,100,28,70,26,55,83,58,100,31,55,11,12.37,15.54,"3"
45,77,74,100,100,87,74,58,81,40,74,6,37,7.44,23.67,11,"3"
25.35,64,57,78,86,100,91,93,88,70,87,46,86,23,100,20,"1"
14,86,50,100,73,80,39,53,11.87,28,12.49,4,58,1,100,3.15,"2"
100,84,55,99,4,72,49,33,43,16.07,21.78,28,41,69,97,100,"8"
25.2683333333333,69,42,87,100,100,75,79,50,59,25,39,17,19,67,21.17,"1"
10,87,58,100,92,84,64,58,62,36,100,17,55,4.08,16.17,1,"3"
39,58,100,79,88,100,6,80,18.78,54,89,68,63,39,31,29.87,"9"
77,94,35,100,53,74,74,90,99,52,100,10,51,4.08,22.32,6,"9"
100,94,29,100,29.1,72,70,79,88,98,64,65,50,33,43,22.11,"9"
20,100,17,74,11.13,45,25,26,81,25,95,50,95,30,100,35.52,"4"
42,87,80,100,70,72,58,62,100,46,87,15,42,4.19,22.54,3,"3"
21,94,44,73,100,100,13,100,16,80,61,66,23,33,21.92,28.01,"9"
20.84,56,44,88,67,100,68,54,70,7,11,1,37,3.15,100,3,"1"
9,83,30,100,84,95,64,67,85,50,100,23,57,3,9.29,6.2,"3"
15.87,26,57,56,98,94,31,100,45,63,100,31,78,19.3466666666667,9,16,"8"
16.64,60,9,71,45,100,35,64,38,28,7,5.1,21,1,100,4,"1"
32,100,17,75,87,41,64,12.84,12,20,79,55,100,96,23.33,96,"8"
32,96,16.3,67,61,58,74,14,24,15.13,20,50,38,91,100,100,"5"
39,94,12.99,63,66,44,70,1,10,5.64,15,52,29,99,100,100,"5"
14.42,100,72,99,100,86,62,45,38,10.65,5,13,23,41,97,44,"7"
3,85,38,100,59,78,45,48,22,21,8.07,3.33,52,2.34,100,1,"2"
100,100,46,91,14,64,3.49,32,8,4.04,62,3.79,55,27,6,27,"6"
32,88,21,100,66,94,45,65,69,54,100,29,64,3,20.62,5.85,"3"
37,100,38.02,60,94,94,3,89,29,54,47.01,39.99,100,28,8,38,"8"
19.6,71,52,100,100,75,53,37,13,7.89,82,7,34,44,16,83,"8"
17,96,4.94,63,6,20,50,4.61,95,22,100,64,71,100,25,86,"0"
37.28,4,74,29,100,62,88,95,74,100,74,67,74,33,76,18.2,"1"
60,100,14,67,100,55,80,98,39,56,43.54,13,80,23.63,50,45,"8"
20,100,7.52,75,4,42,72,43,100,63,87,69,85,34,89,31.83,"4"
17,37,24,8.08,73,14,100,50,89,90,43,100,11,66,15.86,25,"0"
40,100,16,81,6.26,59,22,40,81,47,100,44,79,22,67,31.92,"4"
19,73,12,61,77,36,57,14.09,9,19,6.68,59,12,94,100,100,"5"
57,87,24.51,100,17,63,100,28,94,24.17,20,34,89,71,37,87,"8"
68,90,100,100,100,80,79,59,71,35,73,11,39,2.51,36.58,3,"3"
59,94,20,66,58,46,50,2,14.4,6.35,21,49,49,96,100,100,"5"
58,96,17,64,6.56,26,29,6.86,75,27,100,65,83,100,33,79,"0"
37,90,4,97,35,57,100,22,49,19.7,30.78,33,54,72,35,100,"8"
63,48,100,73,77,100,13,92,17.88,65,64,57,86,31,77,27.87,"9"
6,100,18,89,14,54,12.76,21,54,21,99,38,92,34,100,37.9,"4"
51,100,16,73,7.21,27,28,8.4,70,15,100,51,83,89,40,95,"0"
9,68,29,100,65,91,45,58,13,31,5.05,6,51,6,100,8.15,"2"
29,78,52,100,72,80,65,61,100,43,81,14,33,9.73,22.01,20,"3"
50,100,28,70,79,38,65,4.33,18.52,5,20,45,37,85,100,96,"5"
2,97,13,59,44,34,15,10.15,6,43,6.21,86,49,98,100,100,"5"
27.34,51,33,75,68,100,51,85,53,59,58,33,65,7,100,11.5,"1"
97,82,62,100,13,69,63,59,100,88,96,41,64,1,15.13,6.28,"9"
27,100,19.5,74,60,43,100,3,34,14.31,29,44,74,81,10,58,"8"
100,87,40,100,23.2,78,60,65,100,90,94,65,83,32,79,17.82,"9"
97,100,57,82,24,51,11.04,20,32,6.57,100,12,91,42,25,56,"6"
88,100,82,82,45,49,27.65,22,38,34,94,36,100,42,98,42.84,"4"
100,100,45,85,9,58,10.5,23,44,4.85,99,11,84,40,26,47,"6"
24,77,73,100,100,77,62,37,21,6.6,16.19,9,25,39,84,31,"7"
28,87,1,56,76,75,67,28,1,15.41,6.96,46,18,94,100,100,"5"
35,97,35,61,44,19,31,11.21,23,38,61,68,100,99,51,100,"8"
49,91,98,100,96,66,59,32,17,11.23,15.63,16,38,40,100,48,"7"
10,78,49,100,100,98,69,68,85,43,100,14,51,2,9.35,7,"3"
62,76,36.81,82,29,100,90,98,100,74,90,49,75,25,70,20.82,"9"
88,68,31,56,33.65,81,47,100,100,86,97,55,75,26,44,19.91,"9"
18.93,54,40,67,78,88,100,100,82,74,69,49,58,24,40,23.06,"1"
73,100,31,79,4,48,4,15,49,5.74666666666667,100,14,66,33,10,28,"6"
7,90,57,100,86,81,46,62,92,45,100,18,58,2.75,11.15,6.58,"3"
39,76,68,100,49,61,40,21,19,5.25,18.6,4,50,6,100,5,"1"
100,100,38,87,25,72,19,58,12,43,6,28,30.35,14,6,21.66,"1"
18.99,91,32,100,65,97,92,76,100,38,95,29.52,68,25,91,35,"7"
33,65,68,100,73,89,56,40,37,8.6,25.56,8,50,5,100,6,"1"
24.49,53,45,68,80,90,100,100,98,75,98,50,95,25,93,20.6,"1"
33,65,81,88,100,100,88,70,74,41,52,13,27.84,3.59,81,1,"1"
43,100,10,80,5.37,51,43,29,95,40,100,53,61,28,39,34.23,"4"
13,100,20,71,59,39,44,10.9,9.07,16,7,61,42,93,100,97,"5"
18,87,9.11,92,50,96,100,100,71,78,47,54,33,27,35,36.48,"7"
8,85,46,100,58,73,36,42,5,15,6.46,3.64,50,1.86,100,2,"2"
18.34,98,43,100,68,70,66,35,56,15.54,39,32,49,51,100,55,"7"
1,90,47,100,74,83,53,57,67,32,100,12,51,1,19.77,7.39,"3"
23,78,26,100,62,85,34,55,14.56,27,1,8.71,51,3.48,100,7,"2"
75,93,46,87,10,49,10.99,8,58,9.43,100,31,66,66,22,100,"0"
100,62,47,55,36.47,73,21,100,73,91,79,57,55,25,16,20.17,"9"
12.64,85,34,100,85,78,75,38,56,10.85,14,16,29,37,100,37,"7"
17.09,95,44,100,76,78,72,39,63,9.69,52,12,54,40,100,46,"7"
46,84,65,46,65,9,32.81,11.67,30,29,84,57,100,94,44,100,"8"
96,66,64,100,19.6,88,31,54,86,72,100,42,87,5.63,19,3,"9"
14.98,88,37,100,82,90,70,46,68,9.67,100,3,93,30,46,38,"7"
52,100,26,68,12.8,36,52,36,100,40,84,69,62,35,48,36.03,"4"
59,73,48,100,99,95,81,63,93,44,100,13,50,6.7,17.37,11,"3"
34,100,5,59,25.16,46,100,47,94,81,64,86,62,43,50,39.14,"4"
48,62,60,100,61,56,37,19,15.96,7.37,20,13,60,8,100,1,"2"
20.26,100,50,99,47,69,32,35,20,14.92,10,29,44,44,100,47,"7"
69,98,89,64,97,100,62,79,99,77,100,29,60,2,23.18,7.29,"9"
25,67,41,100,80,91,61,53,24,26,11.82,15,49,6,100,9.8,"2"
65,64,86,80,75,100,26.48,79,18,54,100,68,78,41,49,32.44,"9"
35,86,56,65,100,27,23,10.61,6,28,65,64,98,100,16.68,85,"8"
11,59,51,85,53,100,46,58,38,16,12.2,5,51,2.59,100,1,"1"
35,87,86,100,100,76,52,57,89,53,97,21,53,2.96,20.23,8,"3"
49,100,10,79,2.67,32,33,4.135,82,8,100,51,74,90,27,97,"0"
13,83,52,100,75,78,44,48,4,22,5.55,6.98,54,1,100,6,"2"
10.69,91,49,96,100,100,67,62,54,18,38,20.45,21,38,83,40,"7"
25.92,62,27,64,61,84,100,100,90,77,70,51,50,25,35,22.31,"1"
16,100,16.96,65,43,57,100,70,99,87,97,76,84,38,73,33.99,"4"
18.31,89,20,97,64,100,100,90,95,66,78,44,57,22,40,32.06,"7"
98,98,34,96,8,59,63,27,34,14.55,11.64,32,42,70,100,100,"8"
38,99,6,52,14,6.49,75,3,100,51,73,100,14,83,11.01,33,"0"
100,100,21,86,45,47,86,11,3,12.74,20.676,33,65,65,99,96,"8"
20.99,100,51,99,100,78,80,42,60,7,79,6.71,98,27,30,38,"7"
71,64,55,100,22.86,98,19,69,74,80,100,49,67,10,13,12.16,"9"
48,97,7,76,22,35,30,13.87,5,31,49,65,100,95,52,100,"8"
54,96,83,63,100,100,29,80,87,63,96,54,78,4,27.66,7.81,"9"
54,100,29,87,6,55,5.83,23,48,6.19,100,21,40,35,12,17,"6"
24,88,29.195,46,54,45,20,17.66,24,55,38,95,51,94,100,100,"5"
55,61,81,100,68,79,56,33,30,5.31,23.74,1,51,2,100,6,"1"
25,100,5,70,10.21,40,72,44,100,57,70,64,72,32,60,35.6,"4"
46,83,41,52,38,15,22.77,10.27,18,32,36,65,59,87,100,100,"5"
61,95,39,68,100,100,45,76,24.43,45,10,39,90,36,21,50,"8"
13,88,10,56,54,29,30,8.69,10,35,9.09,79,46,99,100,100,"5"
24.5,98,52,100,100,85,90,57,73,29,73,19.89,100,18,79,35,"7"
33,61,63,93,60,100,55,57,42,15,27.69,7.62,50,5,100,7,"1"
48,99,8,92,50,73,63,100,100,67,99,23,53,4.91,20.5,3,"9"
30,88,7,77,6.24,33,30,2.84,82,6,100,45,74,82,26,100,"0"
38,100,6,62,44,35,7,13.31,6.46,23,9,72,45,98,100,96,"5"
23.97,67,59,100,79,98,71,54,71,12,9,1,2,3.87,100,3,"1"
37,92,6,59,7.53,13,39,4.78,78,25,100,65,75,100,30,100,"0"
22,100,52,98,58,62,32,33,16.27,13,27,9,63,5,100,6.94,"2"
25,46,100,31,80,9.27,37.84,9,38,45,89,78,54,100,20,68,"8"
32,90,26.65,64,66,29,79,10.79,12,26,60,67,100,100,16,79,"8"
75,100,35,82,2,53,4.8,21,44,3.4,100,8,68,31,16,21,"6"
100,99,55,100,22,79,27,51,74,47,87,19,47,4.49,20.82,1,"5"
12.73,91,28,100,73,91,55,46,40,6.21,28,8,44,38,100,45,"7"
45,98,13,71,13,21,59,6.88,100,34,81,79,28,100,16.415,67,"0"
56,100,9,63,16.64,45,76,50,100,73,59,97,35,48,10,34.68,"4"
11.66,93,60,100,65,66,51,33,35,13.71,11,23,31,37,100,38,"7"
11.73,91,41,100,67,76,53,61,99,48,100,15,54,3.13,6,7,"3"
21.75,85,27,100,54,85,44,55,22,29,33,7,66,2,100,5.12,"2"
12.02,97,54,100,84,70,76,35,59,10.32,35,15,33,39,100,41,"7"
32,92,75,100,79,63,56,28,29,13.98,11.97,33,42,46,100,48,"7"
21,73,12,31,40,6.02,81,18,100,55,82,94,37,100,14.87,75,"0"
9,98,29,65,81,99,10,100,58,75,100,62,87,17,25.93,17.11,"9"
74,90,50,100,56,72,100,82,93,54,90,12,47,4.75,38.11,7,"9"
16.66,89,4,47,21,5.13,73,2,100,45,78,89,25,100,14,54,"0"
82,87,36,100,8.14,60,10,8,62,9.37,100,37,93,90,47,92,"0"
26,88,33,56,93,36,64,7.96,11,10,10.28,55,31,88,100,100,"5"
69,98,82,55,100,100,44,82,92,72,91,46,64,5.29,25.79,5.67,"9"
22.73,66,12,98,45,100,70,79,45,49,35,15,66,4.06,100,1,"2"
3,90,69,100,58,98,18.64,77,36,58,100,44,73,9,7,15.85,"5"
81,100,33,88,8.66,50,11,9,77,6,100,42,37,33,10,8.48,"6"
35,97,8,76,4.21,27,42,6.84,91,17,100,65,60,97,8,100,"0"
52,69,61,100,100,93,77,60,42,31,16.33,3,26,4.58,97,1,"2"
74,98,43,100,69,89,90,82,100,38,84,3,41,4.85,45.06,8,"9"
17.81,89,78,100,100,82,66,45,58,5,33,3.32,12,26,98,36,"7"
24.03,100,15,87,8,66,20,46,66,50,77,40,87,20,100,33.4,"4"
74,95,21,75,11.52,36,20,7.96,75,25,100,64,78,100,19,82,"0"
48,94,14.01,76,53,39,47,10.6,3,14,70,46,100,88,28,100,"8"
41,84,93,52,100,12,33,8.13,47,39,93,74,72,100,12.58,81,"8"
13.61,20,57,51,94,89,38,100,44,61,100,30,76,20.15,12,14,"8"
38,79,69,100,88,80,61,56,87,38,100,13,53,3.71,14.2,2,"3"
16,89,16,100,13.76,70,15,42,81,51,100,61,84,30,75,31.94,"4"
49,97,56,77,68,100,40,82,78,55,100,23,52,5,24.65,5.65,"9"
27,90,14.99,65,55,44,62,5,19,6.26,24,50,29,95,100,100,"5"
78,79,40,100,6,71,16,33,16,16.74,16.17,32,46,58,100,80,"8"
100,100,56,83,28,56,10,28,21,2.76,69,6,52,28,16.23,23,"6"
38,90,10,54,74,39,48,4.54,6.03,8,7,55,29,94,100,100,"5"
100,79,64,100,30,86,63,73,77,63,72,27,42,4.74,23.19,5,"9"
13.57,94,44,100,80,86,57,43,33,4.22,28,2,41,38,100,44,"7"
32,86,72,100,74,71,44,44,3,22,6.86,18,54,18,100,15.51,"2"
35,100,27.55,88,58,44,55,13.69,30,39,100,73,94,97,28,84,"8"
95,96,56,84,27.05,47,57,39,100,55,93,100,86,48,81,37.25,"4"
100,100,61,90,71,68,95,88,94,54,79,22,41,8.83,37,13,"9"
85,100,32,76,16.11,44,74,48,100,66,76,92,72,44,67,40.25,"4"
59,86,60,100,96,91,71,63,87,47,100,21,57,2,17.61,6.51,"3"
75,91,30,100,24,60,53,21,11,14.51,10.24,37,44,70,100,93,"8"
29,100,11,85,6.22,65,3,45,46,39,83,39,84,19,100,32.83,"4"
100,99,59,100,27,72,6,40,9.74,6,43,9.45,55,29,6,15,"6"
100,100,54,92,19,67,8.68,35,22,6,71,8.45,89,25,48,46,"6"
54,77,47,98,100,100,93,74,77,43,96,11,46,8.82,24.83,16,"3"
42,100,12,68,3.29,27,32,4.55,76,9,100,44,88,85,47,85,"0"
66,93,50,56,80,100,36.13,55,17,35,59,39.93,100,52,28.63,29,"8"
23,100,6.48,58,8,12,58,5.4,99,29,100,75,56,100,14,78,"0"
100,100,61,91,30,70,7,41,11,7,48,10.13,39,20,12.01,22,"6"
100,99,52,79,31.95,70,26,100,80,100,81,65,57,32,35,21.34,"9"
59,100,9,86,61,44,74,5.33,13.34,1,53,39,100,82,35,88,"8"
26,80,50,100,100,95,58,72,50,47,90,20,53,3.78,18.6,5,"3"
70,99,42,69,35,30,40.33,14.01,19,29,60,58,100,88,54,100,"8"
18,86,12.02,62,22,9,71,8.1,100,49,78,100,29,94,17,41,"0"
100,99,57,100,18,79,16,45,61,52,78,22,39,6.63,8.41,7,"5"
17.61,90,31,100,74,82,68,39,46,3.63,36,6,49,41,100,54,"7"
13.58,100,85,97,100,69,65,38,28,7,13,8.17,13,34,92,41,"7"
100,100,58,100,21,85,21,62,58,56,64,23,36,2.47,17.99,7,"5"
54,69,78,100,70,55,39,18,16.13,6.96,16,23,58,18,100,10,"2"
28.24,62,50,81,100,100,96,87,71,64,46,43,25,21,32,23,"1"
16.02,79,31,100,64,88,49,58,24,30,10,1,56,6.35,100,10,"2"
37.73,99,42,100,23,75,2,50,23,27,93,43,81,25,100,38.39,"4"
45,80,37,48,55,100,40,67,58,14,28.87,1,35,4.48,100,2,"1"
65,95,28,72,52,33,24,11.12,12.41,16,15,59,48,89,100,100,"5"
100,89,41,100,23,69,54,35,38,8.38,23.61,11,25,47,60,81,"8"
36,68,72,100,81,90,63,46,47,7,21.09,2,49,3.73,100,2,"1"
25,100,8,84,6.22,63,8.38,44,33,30,83,34,87,18,100,35.72,"4"
68,74,10,76,48,100,86,81,97,46,100,12,55,14.17,29.7,18,"9"
32,92,12,66,42,29,18,10.77,8.15,24,17,78,56,100,100,97,"5"
75,100,40,90,11,59,9.52,27,32,2.71,98,5,100,28,38,16,"6"
49,100,17,82,6.23,61,8.36,40,49,38,100,42,88,21,84,33.83,"4"
12.24,88,37,100,78,81,76,41,78,11.51,31,17,47,37,100,43,"7"
15,77,75,100,100,100,91,58,91,16,49,8.59,25.36,6,78,4,"1"
46,71,84,96,7,100,28,76,100,86,90,49,69,13,17.06,14.87,"9"
16,73,38,100,60,76,40,43,7,16,4.81,9,50,4.815,100,1,"2"
100,100,68,95,26,98,27,55,70,53,73,15,35,8.61,20.67,16,"5"
100,86,79,89,15,100,8,60,71,53,99,19,43,8.06,14.78,13,"5"
59,100,12,74,4.76,34,29,7.745,81,21,100,59,91,98,35,83,"0"
57,100,25,75,17.52,52,85,53,100,73,65,85,31,43,2,37.86,"4"
100,93,78,95,29,100,20.9,82,33,70,73,45,61,7.56,18,1,"5"
24,83,58,100,86,83,66,57,100,35,87,6,42,7.47,22.14,13,"3"
61,91,88,100,100,81,78,61,63,38,60,14,34,2.6,39.43,1,"3"
32,80,71,100,100,85,62,61,78,50,83,14,40,11.25,19.33,20,"3"
66,91,22,73,50,27,19,12.39,13.6,33,65,60,100,96,24,100,"8"
59,100,24,68,24,19,69,18.76,100,42,74,85,21,63,26.02,19,"0"
22.56,87,37,100,59,64,45,15,27,12.88,20,38,60,44,100,51,"7"
73,100,35,93,6,61,6.18,25,42,5.69,100,18,72,42,19,21,"6"
9,79,81,99,100,100,81,73,77,45,74,17,39.56,3.78,15,3,"1"
63,62,67,100,5,79,52,41,73,4.24,14.7,2,32,42,100,75,"8"
23,97,20,61,66,44,41,10.86,8,24,7.56,82,44,98,100,100,"5"
15.61,100,45,94,69,70,56,35,42,12.41,15,19,45,33,100,35,"7"
32,100,32,79,8.1,48,25,28,96,34,100,64,77,34,77,32.33,"4"
37,94,53,48,41,6,7.09,8.94,4,45,17,90,57,100,100,100,"5"
13.47,88,44,100,100,85,88,45,60,8,25,8.76,32,25,98,27,"7"
17.23,78,25,100,58,77,46,37,10,12,19,24,62,9,100,12.59,"2"
47,89,20,55,36,6,80,4.98,100,45,77,90,32,100,15.27,67,"0"
41,82,64,100,83,77,46,53,93,42,100,19,52,6,13.89,8.03,"3"
22.48,72,50,85,100,100,91,81,77,60,55,38,38,18,34,21.47,"1"
100,100,57,81,23,58,7.12,35,7,9,61,11.36,68,20,20,22,"6"
35,73,63,100,97,87,58,64,100,44,100,11,50,2.99,17.88,8,"3"
31.61,57,33,76,58,100,78,99,78,74,78,49,83,24,100,19.39,"1"
43,98,15.13,69,57,49,62,7,15,7.79,17,50,34,95,100,100,"5"
25.03,82,23,98,65,100,75,72,53,43,28,16,58,2,100,4.12,"2"
25.44,88,18,100,68,97,59,70,55,50,100,37,84,11,35,18.25,"3"
51,94,100,100,48,91,6,66,42,50,87,28,60,5,19.76,4.18,"5"
22,100,3,94,9.8,51,49,44,100,61,64,86,64,43,60,41.54,"4"
16,67,30,100,76,97,71,57,41,23,10.01,3.48,50,3,100,1,"2"
36,100,2,70,7.87,43,53,42,100,43,68,70,45,35,22,35.44,"4"
56,100,19,76,5.78,33,24,9.47,74,25,100,65,70,87,23,60,"0"
30,71,4,60,8.27,11,54,5.13,100,32,97,80,45,100,6,66,"0"
67,86,59,66,95,26,44,11.36,15.49,30,59,63,100,98,19,100,"8"
96,98,83,100,47,68,26,32,49,10.27,100,18,53,39,21.41,27,"6"
47,86,87,100,100,74,67,51,97,32,96,7,48,3.57,21.75,7,"3"
23,100,19,64,51,32,16,12.88,5.53,33,8,84,54,90,100,92,"5"
3,90,41,100,100,100,89,68,54,33,19,22.22,18.23,15,54,23,"7"
38,100,10,69,3.73,27,29,4.82,71,9,100,42,88,81,46,92,"0"
41,100,6,89,6.71,57,12,25,54,4,100,24,55,25,17,10.11,"6"
87,82,70,64,12,67,41,100,100,90,98,48,62,12,19.23,12.15,"9"
10.2,80,22,100,43,71,36,37,9,8,7,12,54,16,100,11.23,"2"
39,83,17,65,37,26,17,12.78,10.28,36,44,70,100,100,32,93,"8"
100,100,74,85,34,59,12.04,31,7,1,68,4.54,60,18,19.15,18,"6"
9,95,3,60,65,67,66,8,11,10.61,8.85,61,32,91,100,100,"5"
11,83,3.53,38,21,6.74,71,1,100,37,87,80,41,100,5,71,"0"
100,95,74,100,25,89,17,53,72,45,99,19,53,3,14.9,7.26,"5"
22,71,55,44,42,11,8.46,8.42,1,37,13,71,53,91,100,100,"5"
12,54,30,100,62,87,43,39,3,7,5.09,1,50,3.69,100,4,"2"
100,100,58,81,27,56,1,28,11.72,3.45,53,5,53,30,6.42,27,"6"
76,69,24,51,46.39,72,39,100,91,99,100,66,93,32,87,18.08,"9"
31,100,8.71,80,4,30,37,3.69,81,8,100,47,70,82,26,91,"0"
97,89,68,100,32,68,13,32,39,5.85,100,10,46,26,21.43,10,"6"
84,76,76,100,19,88,55,83,100,82,73,53,38,26,30.37,20.49,"9"
27,51,11.92,22,43,3.03,90,13,100,54,75,93,27,100,12,61,"0"
4,85,39,100,83,85,57,60,59,41,100,21,62,4.14,16.32,1,"3"
48,100,24,62,23.21,35,93,33,100,67,74,77,63,39,56,37.56,"4"
100,100,54,88,22,64,5.26,35,6,7,57,10.17,65,21,14,21,"6"
77,100,28,80,63,41,59,8.88,16.18,10,47,44,100,75,61,94,"8"
32,71,54,100,82,77,62,43,24,17,12.695,8,50,6,100,5.35,"2"
36,86,68,100,100,77,62,52,71,45,99,19,52,2,19.05,7.25,"3"
100,97,49,100,11,82,10,51,54,52,76,29,47,5,9.78,7.32,"5"
8,77,39,95,86,100,100,80,68,59,73,35,40,15,15.13,21.24,"3"
19.9,39,35,58,69,76,100,100,86,88,69,60,52,30,45,23.12,"1"
44,75,21,38,47.1,16.71,18,28,56,60,100,90,82,100,28,81,"8"
34,74,75,100,100,69,76,27,34,7.52,14.88,10,49,15,100,5,"2"
8,56,53,77,100,100,100,99,79,71,74,42,60,14,53.96,19.92,"1"
26,65,7.37,46,4,1,54,6.73,95,30,100,75,59,100,12,82,"0"
15.95,100,70,95,100,71,70,38,37,4,10,4.44,22,28,97,30,"7"
92,100,57,80,21,53,4.8,22,37,8.45,100,14,76,37,7,32,"6"
100,100,39,84,58,51,88,20,25,13.41,19.15,24,42,54,98,81,"8"
23,85,69,100,62,68,53,27,32,6.99,25.63,2,50,5,100,3,"1"
92,100,49,88,8,59,56,45,100,69,82,56,39,29,21.35,27.76,"4"
19,93,66,100,78,78,41,58,63,41,100,23,53,9,10.87,14.1,"3"
16,88,47,100,50,69,28,38,10.55,13,23,1,62,1,100,2.78,"2"
5,39,16.18,61,55,84,100,100,73,75,55,50,45,25,59,25.03,"1"
13,85,76,100,100,69,74,35,40,1,12,5.59,16.1,33,81,37,"7"
5,56,5,16,56,8.37,100,29,97,68,59,100,8,93,15.2,55,"0"
30,74,45,100,87,90,56,59,100,40,83,9,30,8.2,20.35,15,"3"
21.35,63,55,75,84,97,100,100,91,75,81,50,77,25,81,22.7,"1"
58,74,100,100,94,75,85,35,59,2,32.01,4.56,29,2,88,3,"1"
73,68,100,100,48,100,20,71,79,77,84,46,48,15,16.44,16.23,"9"
93,73,57,100,25.82,81,36,55,100,71,99,43,91,6,26,5.06,"9"
51,83,75,100,82,76,74,47,100,24,74,3,32,10.42,32.31,16,"3"
47,100,38,94,12,68,8.84,42,48,39,100,52,80,26,83,30.38,"4"
16,81,32,63,56,30,17,10.67,6.1,36,5,79,36,99,100,100,"5"
17.25,100,52,98,100,88,56,59,41,19,60,17.96,41,30,92,36,"7"
13,92,6,38,34,3.65,79,8,100,55,79,100,34,100,10.23,66,"0"
10.42,84,37,100,59,76,24,49,70,43,100,21,60,4.17,7,6,"3"
15.36,93,64,100,100,80,76,44,52,8,27,8.1,30,24,96,31,"7"
25,79,58,100,88,84,56,56,79,43,100,19,54,2.61,14.9,8,"3"
35,96,87,100,74,99,28,77,60,56,100,35,53,9,17.65,13.89,"5"
5,96,37,100,66,76,42,45,4,22,5.22,3,50,1,100,3.37,"2"
55,85,100,100,82,94,38,74,90,65,94,36,52,13,24.95,18.71,"5"
13.73,90,43,100,89,87,75,59,44,36,9,14,48,5,100,4.4,"2"
88,81,51,100,11,79,60,69,100,69,95,24,53,4.29,15.46,1,"9"
